image	C:/Users/diogo/OneDrive - Universidade de Lisboa/Ambiente de Trabalho/WORK/202402 - Paper SOTA/figs/fig2/skelorig.tif
intensity-scaling	0
gaussian-std	0
ridge-threshold	0.01
maximum-foreground	65535
minimum-foreground	0
init-z	true
snake-point-spacing	1
minimum-snake-length	4
maximum-iterations	10000
change-threshold	0.1
check-period	100
alpha	0.01
beta	0.1
gamma	2
external-factor	1
stretch-factor	0.2
number-of-background-radial-sectors	8
background-z-xy-ratio	2.88
radial-near	4
radial-far	8
delta	4
overlap-threshold	1
grouping-distance-threshold	4
grouping-delta	8
minimum-angle-for-soac-linking	2.1
damp-z	false

s           p           x           y           z      fg_int      bg_int
#1
6          36     111.985     70.9927           0     13924.2           0
6          37     112.021     71.9864           0       17986           0
6          38     112.141     72.9734           0     12970.3           0
6          39     112.357     73.9439           0     6621.77           0
6          40     112.643     74.8963           0     7261.08           0
6          41     112.844     75.8699           0     9280.19           0
6          42     112.948     76.8588           0     14408.6           0
6          43     112.992     77.8521           0     21086.6           0
6          44     112.998     78.8463           0     15776.4           0
6          45     112.999     79.8406           0     20980.2           0
6          46     113.028     80.8345           0     19184.8           0
6          47     113.122     81.8243           0     11691.3           0
6          48      113.32     82.7986           0      7897.8           0
6          49     113.657      83.734           0     5290.07           0
6          50     114.068     84.6395           0     7657.53           0
6          51     114.476     85.5462           0      4841.1           0
6          52     114.828      86.476           0     8919.04           0
6          53     115.142     87.4196           0     8712.01           0
6          54     115.474     88.3567           0     5912.29           0
6          55     115.867     89.2701           0     12708.5           0
6          56     116.305     90.1628           0     9706.87           0
6          57     116.752     91.0506           0     12306.9           0
6          58     117.203      91.937           0     14633.6           0
6          59     117.623     92.8379           0     10484.8           0
6          60     117.974     93.7682           0     18986.8           0
6          61     118.286     94.7123           0     10277.3           0
6          62     118.626     95.6466           0     6218.47     237.999
6          63     119.005     96.5659           0     13525.6     3198.89
6          64     119.366     97.4922           0     6666.91     2357.72
6          65     119.643     98.4471           0     7734.29     2424.52
6          66     119.856     99.4185           0       14818     1284.39
6          67     120.198     100.352           0     18845.7           0
6          68     120.854     101.099           0     22915.1           0
6          69     121.693     101.633           0       18002           0
6          70     122.565     102.111           0     26071.8           0
6          71     123.424      102.61           0     11359.3           0
6          72     124.214     103.214           0     14509.8           0
6          73     124.922     103.913           0     19106.5           0
6          74     125.517     104.709           0     7478.46           0
6          75     125.939      105.61           0     8954.82           0
6          76     126.231      106.56           0     5717.35           0
6          77     126.479     107.523           0     3076.56           0
6          78     126.729     108.485           0     6165.15           0
6          79     127.014     109.438           0     14490.7           0
6          80     127.382     110.361           0     9641.77           0
6          81     127.824     111.252           0     15002.5           0
6          82     128.335     112.105           0     13426.2           0
6          83     128.867     112.945           0     165.462     87.3903
#1
7           0     242.382     557.329           0     1559.62     1149.03
7           1     242.833     558.224           0     9994.71     2484.25
7           2     243.295     559.114           0     7207.47     1380.21
7           3     243.759     560.003           0     13761.7     3072.92
7           4     244.227     560.889           0     11623.2     1480.85
7           5     244.675     561.786           0     7008.34     852.426
7           6     245.109     562.689           0     9677.57     205.016
7           7     245.519     563.604           0     5670.64           0
7           8     245.973     564.498           0       13673           0
7           9     246.505     565.348           0     8957.43           0
7          10     247.115     566.142           0     16018.6           0
7          11     247.716     566.945           0     15174.7           0
7          12     248.262     567.785           0     10998.2           0
7          13     248.806     568.628           0     9556.16           0
7          14     249.438     569.406           0     9506.24           0
7          15     250.103     570.156           0       16643           0
7          16     250.713     570.951           0     16398.9           0
